name,10x label churn,10x label commits,churn,num commits,churn productivity,commit productivity,first commit,last commit,num owned files,average DMM complexity,average comments added
krogovin,0,0,8,1,0,0,07/01/2020,07/01/2020,0,,0.0
Gregg Tavares,0,0,203,1,0,0,07/15/2020,07/15/2020,10,,5.0
nihohit,0,0,141,1,0,0,01/11/2021,01/11/2021,1,,17.0
vednoc,0,0,2,1,0,0,01/12/2021,01/12/2021,0,,0.0
Richard Li,0,0,224,1,0,0,01/29/2021,01/29/2021,1,,2.0
Dale Curtis,0,1,148,6,13.11392405063291,0.5316455696202531,03/16/2021,06/03/2021,0,1.0,1.5
Nathan Umali,0,0,2,1,0,0,04/02/2021,04/02/2021,0,,0.0
Dominique Hazael-Massieux,0,0,44,1,0,0,06/28/2021,06/28/2021,0,,0.0
chcunningham,0,0,3,1,0,0,08/12/2021,08/12/2021,0,,0.0
Kimmo Kinnunen,0,0,48,1,0,0,08/23/2021,08/23/2021,0,,0.0
kkinnunen-apple,0,0,6,1,0,0,08/23/2021,08/23/2021,0,1.0,-2.0
